id,menu_id,page_number,image_id,full_height,full_width,uuid
119,4000001128,1,1603595,7230,5428,510d47e4-2955-a3d9-e040-e00a18064a99
120,12460,2,1603596,5428,7230,510d47e4-2956-a3d9-e040-e00a18064a99
121,12460,3,1603597,7230,5428,510d47e4-2957-a3d9-e040-e00a18064a99
